Posted_On,BHK,Rent,Size_,Floor_,Area_Locality,City,Furnishing,Tenant_Preferred,Bathroom,Point_of_Contact
2022-05-18,2,10000,1100,Ground out of 2,Bandel,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-13,2,20000,800,1 out of 3,"Phool Bagan, Kankurgachi",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-16,2,17000,1000,1 out of 3,Salt Lake City Sector 2,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-07-04,2,10000,800,1 out of 2,Dumdum Park,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-09,2,7500,850,1 out of 2,South Dum Dum,Kolkata,Unfurnished,Bachelors,1,Contact Owner
2022-04-29,2,7000,600,Ground out of 1,Thakurpukur,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-06-21,2,10000,700,Ground out of 4,Malancha,Kolkata,Unfurnished,Bachelors,2,Contact Agent
2022-06-21,1,5000,250,1 out of 2,Malancha,Kolkata,Unfurnished,Bachelors,1,Contact Agent
2022-06-07,2,26000,800,1 out of 2,"Palm Avenue Kolkata, Ballygunge",Kolkata,Unfurnished,Bachelors,2,Contact Agent
2022-06-20,2,10000,1000,1 out of 3,Natunhat,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-23,3,25000,1200,1 out of 4,"Action Area 1, Rajarhat Newtown",Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-06-07,1,5000,400,1 out of 1,Keshtopur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
2022-05-14,1,6500,250,1 out of 4,"Tarulia, Keshtopur",Kolkata,Furnished,Bachelors,1,Contact Owner
2022-05-09,1,5500,375,1 out of 2,Dum Dum Metro,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
2022-05-05,3,8500,900,Ground out of 2,Paschim Barisha,Kolkata,Unfurnished,Bachelors,2,Contact Owner
2022-06-01,3,40000,1286,1 out of 1,New Town Action Area 1,Kolkata,Furnished,Bachelors/Family,2,Contact Owner
2022-05-17,2,6000,600,1 out of 2,Barasat,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-06-20,2,10000,800,Ground out of 2,Behala,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-09,2,11000,2000,Ground out of 3,Behala Chowrasta,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-09,2,6000,660,1 out of 2,Behala,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-07-02,2,7900,650,1 out of 2,Santoshpur,Kolkata,Unfurnished,Family,1,Contact Owner
2022-06-14,2,9000,400,2 out of 3,"Garia Station, Garia",Kolkata,Unfurnished,Bachelors,2,Contact Owner
2022-06-15,1,4000,300,Ground out of 4,"Garia Station, Garia",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-15,3,6500,1600,Ground out of 2,Joka,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-28,1,8000,400,1 out of 2,Sreebhumi,Kolkata,Semi-Furnished,Bachelors,1,Contact Agent
2022-05-22,2,7000,1000,1 out of 1,Rajarhat,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-18,1,5300,355,1 out of 1,Dum Dum,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Agent
2022-06-25,2,6000,1000,Ground out of 3,"Kodalia, Hooghly-Chinsurah",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-06-22,2,8500,800,4 out of 5,Baguiati,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-25,2,12500,850,Ground out of 2,"Rabindra Sarobar Area, Dhakuria",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-21,1,7500,350,Ground out of 2,Baghajatin,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-26,2,15000,900,Ground out of 2,"Project Kaikhali, Vip Road",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-06-16,2,6000,550,1 out of 1,Vip Road,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-06-29,2,5000,500,Ground out of 2,Baruipur,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-10,3,22000,1100,2 out of 3,Dumdum Park,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-12,2,15000,850,1 out of 2,Sreebhumi,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-06-03,2,12500,800,2 out of 2,Shyam Bazar,Kolkata,Unfurnished,Bachelors,1,Contact Agent
2022-05-31,2,7000,630,Ground out of 3,Birati,Kolkata,Unfurnished,Bachelors,1,Contact Owner
2022-06-10,2,21000,900,1 out of 2,Bansdroni,Kolkata,Semi-Furnished,Bachelors,2,Contact Owner
2022-06-24,1,10000,270,1 out of 2,Jadavpur University,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-06-29,2,7200,630,Ground out of 1,Birati,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-12,3,12000,1500,Ground out of 2,Bhadrakali,Kolkata,Furnished,Bachelors,2,Contact Owner
2022-06-26,1,5000,600,2 out of 5,Behala,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-04-30,2,8500,700,4 out of 14,Baruipur,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-27,1,6000,300,Ground out of 3,Ballygunge,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-06-06,2,10000,1300,Ground out of 1,Kalikapur,Kolkata,Semi-Furnished,Family,2,Contact Owner
2022-05-20,2,4600,400,3 out of 3,Behala,Kolkata,Semi-Furnished,Bachelors,1,Contact Owner
2022-07-02,2,12000,650,Ground out of 1,"Baishnabghata Patuli Township, Patuli",Kolkata,Unfurnished,Family,2,Contact Owner
2022-05-26,3,30000,2000,Ground out of 2,Behala,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-12,3,15000,1068,Ground out of 3,Bansdroni,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-06-22,1,7500,150,1 out of 1,Salt Lake City,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
2022-06-25,1,7500,450,2 out of 2,New Town,Kolkata,Unfurnished,Bachelors,1,Contact Owner
2022-07-03,2,5000,800,Ground out of 1,Baruipur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-04-23,2,15000,1000,Ground out of 2,Bansdroni,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-14,2,11000,900,5 out of 5,Pancha Sayar,Kolkata,Semi-Furnished,Bachelors,1,Contact Owner
2022-05-27,1,7000,600,Ground out of 2,Behala,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-19,2,6000,1200,1 out of 1,Hooghly-Chinsurah,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-19,2,6000,1200,2 out of 2,Hooghly-Chinsurah,Kolkata,Semi-Furnished,Bachelors,2,Contact Owner
2022-07-02,2,7000,650,Ground out of 3,"Amtala, Diamond Harbour Road",Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-07-06,2,8500,720,4 out of 4,"Shrachi Village, Madhyam Gram",Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-07-02,1,5000,300,1 out of 3,Kasba,Kolkata,Unfurnished,Bachelors,1,Contact Owner
2022-06-21,3,30000,1200,Ground out of 2,VIP Road Haldiram,Kolkata,Unfurnished,Bachelors/Family,3,Contact Agent
2022-06-04,2,10000,700,7 out of 8,Sarsuna,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-06-24,3,30000,2000,1 out of 3,Naihati,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-14,1,3500,250,Ground out of 4,Baksara,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-06-26,2,8000,1100,Ground out of 3,Naihati,Kolkata,Unfurnished,Bachelors,1,Contact Owner
2022-07-02,1,5000,300,Ground out of 2,Kasba,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-05,2,7500,600,Ground out of 2,"Amtala, Diamond Harbour Road",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-18,2,6500,800,Ground out of 2,"Chak Thakurani, Thakurpukur",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-07,1,7500,680,1 out of 3,Jadavpur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-07,1,7500,680,Ground out of 2,Jadavpur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-26,2,16000,850,1 out of 4,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors,1,Contact Agent
2022-06-26,2,16000,850,1 out of 2,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors,1,Contact Agent
2022-05-30,2,6500,700,Ground out of 2,Bandel,Kolkata,Unfurnished,Bachelors,1,Contact Owner
2022-05-22,3,40000,1500,Ground out of 2,Beliaghata,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-06-18,2,12500,950,1 out of 4,"Magnolia Prestige, Rajarhat",Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-06-08,2,5500,500,Ground out of 2,"Baishnabghata Patuli Township, Patuli",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-25,1,5000,450,2 out of 4,"Dum Dum Heights, Jessore Road",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-03,2,6500,700,Ground out of 2,Sonarpur,Kolkata,Unfurnished,Bachelors,1,Contact Owner
2022-05-12,1,8000,500,1 out of 2,Lake Town,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-01,3,14500,1800,Ground out of 2,Belghoria,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-23,1,8200,500,1 out of 3,"Rabindra Pally, Keshtopur",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-23,2,15000,480,Ground out of 3,shukhobrishti,Kolkata,Furnished,Bachelors/Family,2,Contact Owner
2022-06-21,6,20000,1000,1 out of 1,Sonarpur,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-06-22,2,6700,800,1 out of 2,"Baishnavghata patuli , house number s-300 Kolkata 700094",Kolkata,Furnished,Bachelors/Family,1,Contact Owner
2022-05-27,1,10000,435,2 out of 3,Kasba,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-07,2,7000,700,Ground out of 2,Dum Dum Metro,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-06-25,2,22000,800,4 out of 4,"Hazra, Kalighat",Kolkata,Furnished,Bachelors/Family,1,Contact Agent
2022-06-27,2,6500,450,1 out of 3,Ajoy Nagar,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-31,2,8500,550,2 out of 3,Kasba -East,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Agent
2022-06-03,2,18000,800,Ground out of 4,Salt Lake City,Kolkata,Unfurnished,Bachelors,2,Contact Agent
2022-06-27,2,12000,550,Ground out of 2,Baghajatin,Kolkata,Semi-Furnished,Family,2,Contact Owner
2022-05-15,1,9000,600,2 out of 4,Behala,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
2022-06-09,1,6000,500,Ground out of 1,"New Garia, Garia",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-04-28,2,20000,1000,1 out of 2,Anandapur,Kolkata,Furnished,Bachelors/Family,2,Contact Owner
2022-05-23,1,5000,300,1 out of 2,Dum Dum Metro,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-28,2,12000,1200,1 out of 3,Boral,Kolkata,Furnished,Bachelors/Family,2,Contact Owner
2022-06-23,2,10000,500,3 out of 4,"Rabindra Pally, Keshtopur",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-04-29,4,18000,1200,1 out of 2,Bagbazar,Kolkata,Unfurnished,Family,2,Contact Owner
2022-06-13,2,15000,900,1 out of 2,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-06-13,3,22000,1300,Ground out of 2,Salt Lake City Sector 2,Kolkata,Unfurnished,Bachelors/Family,3,Contact Agent
